user,text,latitude,longitude
Doncr121,"?? @ Berezov, Khanty-Mansiyskiy Avtonomnyy Okrug, Russia https://t.co/IQVcMrF5I8",63.9381,65.0419
autoRNG,28,62.14656414,63.27273963
tmj_rus_jobs,"Want to work at Baker Hughes? We're #hiring in #Tyumen, Tyumen Oblast! Click for details: https://t.co/PWcDIaX6NM #Job #Sales #Jobs",57.1612975,65.5250172
Libraliya,"I'm at ????????????? ????? in Astana, Astana Qalasy https://t.co/nxFQRoeC5J",51.14994005,71.45887145
solidontop_24k,#DeputyLeeDay #happySEUNGHOONday #WINNER #LEESEUNGHOON #WINNER @ ???????? https://t.co/vOx7hliZH4,50.05793,72.95261
m_vinnie_pooh,"???????, ?????? ??? akulina1101, ?????????? ???? ? ???? ????????! ? ???? ?? ????, ????? ?????? https://t.co/u2tXbggNWY",43.3044,77.2328
IllinoisFreedom,"Wind 9.2 mph WSW. Barometer 29.67 in, Rising very rapidly. Temperature 26.4 ?F. Rain today 1.16 in. Humidity 60%",41.93555556,89.07638889
NamanganUZ,"temperature up -8?C -&gt; -2?C
humidity down 73% -&gt; 63%
wind 2kmh -&gt; 3kmh",41.01,71.23
alazizrajabi,"???? ?????? ????, ???????? ???!
#IronMan #Thor #Hulk #Avengers #inTashkent #Art #GraphicArt? https://t.co/76uXMGM3WJ",41.3984839,69.4623286
googuns_lulz,856581537e372783e98296a2c5e2df1c7ef45f5bf8352697a135a9b4f5343535201bf5a27aed86682e7992656c3280906c28185fee6235ee5fdf735d0a71019cdd7126000000,40.08687658,64.95947635
